GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lectures-demo-calculator,com.nackademin.teau.lectures_demo_calculator,Calculator,0,11,0,0,0,3,0,3,0,3
lectures-demo-calculator,com.nackademin.teau.lectures_demo_calculator,App,14,0,0,0,4,0,2,0,2,0
